검색조건
대출기간,2020-01-01 ~ 2020-01-30
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2020-01-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","82년생 김지영 :조남주 장편소설 ","지은이: 조남주","민음사","2016","","9788937473135","04810","813.7","2,253",
"2","여행의 이유 :김영하 산문 ","지은이: 김영하","문학동네","2019","","9788954655972","03810","816.7","1,777",
"3","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","03830","833.6","1,728",
"4","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","7","9791162339466","74830","833.6","1,578",
"5","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","2","9788937853470","74830","833.6","1,533",
"6","추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건","트롤","아이세움","2018","6","9791162335123","","","1,509",
"7","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","4","9788937848247","74830","833.6","1,495",
"8","추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건","트롤","아이세움","2017","5","9791162332542","","","1,482",
"9","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","3","9788937889714","74830","833.6","1,479",
"10","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","1","9788937838750","74830","833.6","1,472",
"11","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","8","9791164131914","74830","833.6","1,438",
"12","언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ","지은이: 이기주","말글터","2016","","9791195522125","03810","818","1,397",
"13","돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ","저자: 야쿠마루 가쿠 ;옮긴이: 김성미","Book plaza(북플라자)","2017","","9788998274795","03830","833.6","1,392",
"14","아몬드 (양장 특별 한정판)","손원평 (지은이)","창비","2017","","9788936434267","","","1,352",
"15","천년의 질문 :조정래 장편소설 ","저자: 조정래","해냄","2019","1","9788965746829","04810","813.62","1,345",
"16","(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ","임홍택 지음","Whale Books(웨일북)","2018","","9791188248674","03320","325.3","1,343",
"17","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","03900","909","1,297",
"18","공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것 ","최승필 지음","책구루","2018","","9791196316808","03370","029.8","1,272",
"19","나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ","글·그림: 김수현","마음의숲","2016","","9791187119845","03810","818","1,271",
"20","당신이 옳다 :정혜신의 적정심리학 ","지은이: 정혜신","해냄","2018","","9788965746669","03180","189","1,256",
"21","채식주의자:한강 연작소설","한강","창비","2007","","9788936433598","03810","813.6","1,199",
"22","설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ","지은이: 설민석","세계사","2016","","9788933870693","03910","911.052","1,177",
"23","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","03190","181.845","1,175",
"24","죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ","지은이: 백세희","흔","2018","","9791196394509","03810","818","1,161",
"25","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","9","9791188874262","74910","911","1,156",
"25","진이, 지니 :정유정 장편소설 ","지은이: 정유정","은행나무","2019","","9791189982140","03810","813.7","1,156",
"27","직지 :김진명 장편소설 ","지은이: 김진명","쌤앤파커스","2019","1","9788965708322","04810","813.7","1,153",
"28","천년의 질문 :조정래 장편소설 ","저자: 조정래","해냄","2019","2","9788965746836","04810","813.62","1,142",
"29","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","1","9791195794799","74910","911","1,136",
"30","천년의 질문 :조정래 장편소설 ","저자: 조정래","해냄","2019","3","9788965746843","04810","813.62","1,111",
"31","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","8","9791188874217","74910","911","1,102",
"32","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","3","9791196025847","74910","911","1,085",
"33","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","7","9791188874149","74910","911","1,083",
"34","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","5","9791196232160","74910","911","1,081",
"35","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","10","9791188874293","74910","911","1,077",
"36","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ","기시미 이치로,전경아 옮김","인플루엔셜","2014","","9788996991342","13180","189.2","1,069",
"36","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","2","9791196025809","74910","911","1,069",
"38","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","4","9791196025861","74910","911","1,058",
"39","직지 :김진명 장편소설 ","지은이: 김진명","쌤앤파커스","2019","2","9788965708339","04810","813.7","1,051",
"40","설민석의 한국사 대모험 11 - 고구려 편 : 부마 온달, 태학에 들어가다!","설민석, 스토리박스 (지은이), 정현희 (그림), 태건 역사 연구소 (감수)","아이휴먼","2019","11","9791188874385","","","1,043",
"41","걷는 사람, 하정우 ","글·사진: 하정우","문학동네","2018","","9788954653817","03810","818","1,038",
"42","소년이 온다 :한강 장편소설 ","지은이: 한강","창비","2014","","9788936434120","03810","813.7","1,035",
"42","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","6","9791188874088","74910","911","1,035",
"44","팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ","지은이: 한스 로슬링,옮긴이: 이창신","김영사","2019","","9788934985068","03300","331.1","1,034",
"45","봉제인형 살인사건 :다니엘 콜 장편소설 ","저자: 다니엘 콜 ;옮긴이: 유혜인","Book plaza(북플라자)","2017","","9788998274931","03840","843.6","1,017",
"46","역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 ","최태성 지음","다산북스","2019","","9791130621968","03900","904","1,013",
"47","열두 발자국 ","지은이: 정재승","어크로스","2018","","9791160560510","03400","404","1,012",
"48","선량한 차별주의자 ","김지혜 지음","창비","2019","","9788936477196","03300","334","1,004",
"49","아가씨와 밤 :기욤 뮈소 장편소설 ","지은이: 기욤 뮈소 ;옮긴이: 양영란","밝은세상","2018","","9788984373617","03860","863","1,001",
"50","(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ","지은이: 설민석","세계사","2019","1","9788933870792","04000","823.5","958",
"51","인어가 잠든 집 ","지은이: 히가시노 게이고 ;옮긴이: 김난주","재인","2019","","9788990982773","03830","833.6","951",
"52","하마터면 열심히 살 뻔했다 :야매 득도 에세이 ","하완 지음","웅진씽크빅","2018","","9788901223032","03810","818","941",
"53","빛의 과거 :은희경 장편소설 ","지은이: 은희경","문학과지성사","2019","","9788932035635","03810","813.7","914",
"54","죽음 :베르나르 베르베르 장편소설 ","지은이: 베르나르 베르베르 ;옮긴이: 전미연","열린책들","2019","1","9788932919676","04860","863","913",
"55","철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ","야마구치 슈 지음 ;김윤경 옮김","다산북스","2019","","9791130620459","03100","100","910",
"56","혼자가 혼자에게 :이병률 산문집 ","지은이: 이병률","달 출판사","2019","","9791158161026","03810","814.7","903",
"57","고요할수록 밝아지는 것들 :혜민 스님과 함께 지혜와 평온으로 가는 길 ","혜민 지음","수오서재","2018","","9791187498384","03810","818","892",
"58","쇼코의 미소 :최은영 소설 ","지은이: 최은영","문학동네","2016","","9788954641630","03810","813.7","860",
"59","(50대 사건으로 보는) 돈의 역사 =The history of money ","홍춘욱 지음","Rok Media(로크미디어)","2019","","9791135422225","03320","327.209","858",
"60","설민석의 세계사 대모험 1 - 프랑스혁명 속으로!","설민석, 잼 스토리 (지은이), 박성일 (그림)","단꿈아이","2019","1","9791189001261","","","855",
"61","대도시의 사랑법 :박상영 연작소설 ","지은이: 박상영","창비","2019","","9788936437978","03810","813.7","844",
"62","살인자의 기억법 :김영하 장편소설 ","지은이: 김영하","문학동네","2013","","9788954622035","03810","813.7","841",
"63","박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음","위즈덤하우스 미디어그룹","2019","","9791190065672","03810","326.7904","834",
"64","바깥은 여름 :김애란 소설 ","지은이: 김애란","문학동네","2017","","9788954646079","03810","813.7","829",
